Player,Projection,Pos,Rank,pos_rank,Cluster
Patrick Mahomes II,436.51,QB,13.0,1.0,1
Josh Allen,432.535,QB,19.0,1.0,1
Jalen Hurts,422.31999999999994,QB,22.0,1.0,1
Lamar Jackson,392.31000000000006,QB,32.0,1.0,1
Joe Burrow,401.61499999999995,QB,35.0,1.0,1
Justin Fields,366.70500000000004,QB,45.0,1.0,2
Justin Herbert,371.71,QB,41.0,1.0,2
Deshaun Watson,354.00000000000006,QB,81.0,1.0,2
Dak Prescott,349.66999999999996,QB,83.0,1.0,2
Kirk Cousins,350.90999999999997,QB,104.0,1.0,2
Trevor Lawrence,351.8549999999999,QB,56.0,1.0,2
Daniel Jones,343.28999999999996,QB,112.0,1.0,2
Geno Smith,343.40500000000003,QB,117.0,1.0,2
Aaron Rodgers,329.03,QB,99.0,1.0,3
Russell Wilson,324.495,QB,139.0,1.0,3
Tua Tagovailoa,327.09999999999997,QB,93.0,1.0,3
Jared Goff,329.055,QB,131.0,1.0,3
Anthony Richardson,310.14,QB,105.0,1.0,4
Derek Carr,301.005,QB,148.0,1.0,4
Kenny Pickett,289.07500000000005,QB,155.0,1.0,4
Jordan Love,296.85,QB,164.0,1.0,4
Brock Purdy,288.09000000000003,QB,158.0,1.0,4
Matthew Stafford,293.34000000000003,QB,173.0,1.0,4
Bryce Young,279.06500000000005,QB,172.0,1.0,5
Jimmy Garoppolo,275.52000000000004,QB,199.0,1.0,5
Mac Jones,272.59,QB,233.0,1.0,5
C.J. Stroud,266.44000000000005,QB,196.0,1.0,5
Sam Howell,262.96999999999997,QB,185.0,1.0,5
Ryan Tannehill,260.03999999999996,QB,228.0,1.0,5
Kyler Murray,242.15499999999997,QB,190.0,1.0,5
Baker Mayfield,238.365,QB,232.0,1.0,5
Desmond Ridder,235.98,QB,236.0,1.0,5
Joshua Dobbs,103.84500000000001,QB,251.0,1.0,6
Taylor Heinicke,53.58500000000001,QB,315.0,1.0,7
Mike White,39.055,QB,253.0,1.0,7
Clayton Tune,32.295,QB,323.0,1.0,7
Marcus Mariota,27.800000000000004,QB,309.0,1.0,7
Teddy Bridgewater,23.03,QB,318.0,1.0,7
Malik Cunningham,1.120000000000001,QB,306.0,1.0,7
Christian McCaffrey,273.62,RB,1.0,1.0,1
Austin Ekeler,271.16,RB,3.0,1.0,1
Nick Chubb,242.89000000000001,RB,8.0,1.0,1
Derrick Henry,245.81000000000003,RB,17.0,1.0,1
Tony Pollard,242.78,RB,16.0,1.0,1
Josh Jacobs,237.62000000000003,RB,15.0,1.0,1
Bijan Robinson,239.83,RB,7.0,1.0,1
Saquon Barkley,239.60000000000002,RB,9.0,1.0,1
Joe Mixon,215.43000000000004,RB,31.0,1.0,2
Aaron Jones,213.37,RB,40.0,1.0,2
Najee Harris,199.76,RB,24.0,1.0,2
Travis Etienne Jr.,200.45,RB,26.0,1.0,2
Rhamondre Stevenson,204.59000000000003,RB,28.0,1.0,2
Kenneth Walker III,188.0,RB,38.0,1.0,2
Alexander Mattison,191.44000000000003,RB,50.0,1.0,2
James Conner,191.42000000000002,RB,60.0,1.0,2
Dameon Pierce,188.51,RB,39.0,1.0,2
Jahmyr Gibbs,188.22,RB,30.0,1.0,2
J.K. Dobbins,175.01999999999998,RB,48.0,1.0,3
Miles Sanders,178.85000000000002,RB,49.0,1.0,3
Breece Hall,178.76000000000002,RB,47.0,1.0,3
Isiah Pacheco,172.76,RB,75.0,1.0,3
Cam Akers,172.54,RB,57.0,1.0,3
Rachaad White,180.68000000000004,RB,63.0,1.0,3
Jonathan Taylor,166.14000000000001,RB,42.0,1.0,3
David Montgomery,168.7,RB,77.0,1.0,3
James Cook,169.20000000000002,RB,61.0,1.0,3
Javonte Williams,165.92000000000002,RB,59.0,1.0,3
Alvin Kamara,162.26000000000005,RB,62.0,1.0,3
Khalil Herbert,145.18,RB,88.0,1.0,4
AJ Dillon,146.93,RB,84.0,1.0,4
Dalvin Cook,149.3,RB,67.0,1.0,4
Brian Robinson Jr.,139.89000000000001,RB,92.0,1.0,4
D'Andre Swift,148.16000000000003,RB,70.0,1.0,4
Raheem Mostert,141.78,RB,126.0,1.0,4
Jamaal Williams,131.42000000000002,RB,95.0,1.0,4
Samaje Perine,135.73000000000002,RB,107.0,1.0,4
Antonio Gibson,141.18,RB,89.0,1.0,4
Rashaad Penny,113.11000000000001,RB,106.0,1.0,5
Tyler Allgeier,107.65,RB,133.0,1.0,5
Elijah Mitchell,105.52000000000001,RB,121.0,1.0,5
Ezekiel Elliott,107.44999999999999,RB,123.0,1.0,5
Zach Charbonnet,108.24000000000002,RB,98.0,1.0,5
Jaylen Warren,104.75000000000001,RB,122.0,1.0,5
Chuba Hubbard,99.78,RB,181.0,1.0,5
Damien Harris,99.42,RB,127.0,1.0,5
D'Onta Foreman,91.4,RB,142.0,1.0,5
Kenneth Gainwell,97.56,RB,151.0,1.0,5
Devin Singletary,98.55000000000001,RB,150.0,1.0,5
Jerick McKinnon,102.23999999999998,RB,125.0,1.0,5
De'Von Achane,94.17,RB,110.0,1.0,5
Gus Edwards,86.64999999999999,RB,193.0,1.0,5
Tank Bigsby,88.23,RB,129.0,1.0,5
Jeff Wilson Jr.,85.82,RB,169.0,1.0,5
Zack Moss,83.21000000000001,RB,205.0,1.0,5
Tyjae Spears,78.62000000000002,RB,168.0,1.0,6
Kendre Miller,76.83000000000001,RB,161.0,1.0,6
Kyren Williams,74.95000000000002,RB,241.0,1.0,6
Cordarrelle Patterson,75.19,RB,204.0,1.0,6
Joshua Kelley,74.74,RB,206.0,1.0,6
Clyde Edwards-Helaire,71.47000000000001,RB,198.0,1.0,6
Chase Edmonds,73.38,RB,261.0,1.0,6
Ty Chandler,69.28,RB,217.0,1.0,6
Jerome Ford,67.83999999999999,RB,219.0,1.0,6
Deon Jackson,75.09000000000002,RB,189.0,1.0,6
Keaontay Ingram,65.19,RB,287.0,1.0,6
Roschon Johnson,62.45,RB,149.0,1.0,6
Deuce Vaughn,61.290000000000006,RB,157.0,1.0,6
Chase Brown,55.13999999999999,RB,234.0,1.0,7
Latavius Murray,50.95000000000001,RB,301.0,1.0,7
Evan Hull,50.02,RB,218.0,1.0,7
Matt Breida,48.36000000000001,RB,305.0,1.0,7
Zach Evans,42.470000000000006,RB,297.0,1.0,7
Zamir White,39.800000000000004,RB,197.0,1.0,7
Sean Tucker,42.57,RB,225.0,1.0,7
Rico Dowdle,38.84,RB,275.0,1.0,7
Pierre Strong Jr.,39.260000000000005,RB,307.0,1.0,7
Myles Gaskin,41.84,RB,316.0,1.0,7
Chris Evans,32.480000000000004,RB,282.0,1.0,8
Salvon Ahmed,27.400000000000002,RB,321.0,1.0,8
Justice Hill,25.339999999999996,RB,310.0,1.0,8
DeWayne McBride,21.12,RB,267.0,1.0,8
Chris Brooks,7.3100000000000005,RB,320.0,1.0,8
Justin Jefferson,262.63,WR,2.0,1.0,1
Ja'Marr Chase,257.45,WR,4.0,1.0,1
Tyreek Hill,249.92,WR,6.0,1.0,1
Cooper Kupp,239.79000000000002,WR,10.0,1.0,1
CeeDee Lamb,235.01,WR,12.0,1.0,1
Davante Adams,227.71,WR,18.0,1.0,1
Stefon Diggs,228.59,WR,11.0,1.0,1
A.J. Brown,212.20999999999998,WR,14.0,1.0,2
Jaylen Waddle,202.2,WR,23.0,1.0,2
Amon-Ra St. Brown,210.51,WR,20.0,1.0,2
Garrett Wilson,201.73999999999998,WR,21.0,1.0,2
Deebo Samuel,187.65,WR,37.0,1.0,2
Chris Olave,194.51999999999998,WR,25.0,1.0,2
Tee Higgins,189.26,WR,33.0,1.0,2
Christian Watson,182.58000000000004,WR,58.0,1.0,2
Amari Cooper,182.95,WR,43.0,1.0,2
DK Metcalf,188.55,WR,36.0,1.0,2
DeVonta Smith,185.94,WR,29.0,1.0,2
Calvin Ridley,183.62,WR,34.0,1.0,2
DJ Moore,173.24,WR,51.0,1.0,3
Mike Williams,171.04999999999998,WR,64.0,1.0,3
Mike Evans,170.87,WR,78.0,1.0,3
Keenan Allen,181.81,WR,44.0,1.0,2
Terry McLaurin,169.1,WR,55.0,1.0,3
Christian Kirk,167.58,WR,73.0,1.0,3
DeAndre Hopkins,168.94000000000003,WR,54.0,1.0,3
Tyler Lockett,165.12,WR,74.0,1.0,3
Brandon Aiyuk,159.47000000000003,WR,65.0,1.0,4
Jerry Jeudy,158.02,WR,71.0,1.0,4
Drake London,164.81,WR,66.0,1.0,3
Jahan Dotson,153.45,WR,85.0,1.0,4
Chris Godwin,168.7,WR,69.0,1.0,3
George Pickens,150.5,WR,76.0,1.0,4
Gabe Davis,147.57,WR,97.0,1.0,4
Diontae Johnson,161.19,WR,79.0,1.0,4
Marquise Brown,157.53,WR,87.0,1.0,4
Michael Pittman Jr.,154.5,WR,80.0,1.0,4
Brandin Cooks,144.91,WR,96.0,1.0,4
Jordan Addison,143.5,WR,86.0,1.0,4
Courtland Sutton,141.95,WR,101.0,1.0,4
Treylon Burks,138.14,WR,116.0,1.0,4
Zay Flowers,133.81,WR,100.0,1.0,5
Michael Thomas,138.0,WR,102.0,1.0,4
Jaxon Smith-Njigba,132.57,WR,90.0,1.0,5
JuJu Smith-Schuster,140.78,WR,111.0,1.0,4
Nico Collins,127.54,WR,163.0,1.0,5
Allen Lazard,125.61,WR,132.0,1.0,5
Odell Beckham Jr.,122.78,WR,114.0,1.0,5
Jakobi Meyers,129.51000000000002,WR,160.0,1.0,5
Skyy Moore,129.45000000000002,WR,118.0,1.0,5
Tyler Boyd,124.52999999999999,WR,166.0,1.0,5
DJ Chark Jr.,118.72999999999999,WR,216.0,1.0,5
Michael Gallup,118.74999999999999,WR,207.0,1.0,5
Darnell Mooney,119.22,WR,170.0,1.0,5
Zay Jones,123.02000000000001,WR,176.0,1.0,5
Marquez Valdes-Scantling,112.72,WR,208.0,1.0,6
Romeo Doubs,119.59,WR,136.0,1.0,5
DeVante Parker,113.35,WR,279.0,1.0,6
Quentin Johnston,114.21,WR,115.0,1.0,6
Adam Thielen,115.89000000000001,WR,130.0,1.0,6
Kadarius Toney,111.53,WR,113.0,1.0,6
Jonathan Mingo,113.28999999999999,WR,182.0,1.0,6
Rondale Moore,121.75,WR,174.0,1.0,5
Curtis Samuel,111.10000000000002,WR,243.0,1.0,6
Van Jefferson,106.83000000000001,WR,211.0,1.0,6
Elijah Moore,106.53,WR,120.0,1.0,6
K.J. Osborn,108.07000000000001,WR,192.0,1.0,6
Marvin Mims Jr.,105.91,WR,171.0,1.0,6
Donovan Peoples-Jones,104.66,WR,177.0,1.0,6
Jayden Reed,105.94999999999999,WR,214.0,1.0,6
Hunter Renfrow,111.08,WR,238.0,1.0,6
Rashod Bateman,101.03,WR,141.0,1.0,6
Mecole Hardman Jr.,102.74000000000001,WR,257.0,1.0,6
Jameson Williams,97.03,WR,144.0,1.0,6
Alec Pierce,97.93,WR,210.0,1.0,6
Isaiah Hodgins,98.11,WR,230.0,1.0,6
Rashid Shaheed,88.86000000000001,WR,245.0,1.0,7
Darius Slayton,90.26,WR,264.0,1.0,7
Robert Woods,97.25,WR,272.0,1.0,6
Chase Claypool,87.67,WR,268.0,1.0,7
Rashee Rice,83.19000000000001,WR,165.0,1.0,7
John Metchie III,83.17,WR,235.0,1.0,7
Joshua Palmer,83.37,WR,271.0,1.0,7
Allen Robinson II,81.69,WR,299.0,1.0,7
Parris Campbell,80.59,WR,223.0,1.0,7
Wan'Dale Robinson,81.14,WR,256.0,1.0,7
Josh Reynolds,70.8,WR,325.0,1.0,8
Jalin Hyatt,70.18,WR,154.0,1.0,8
Tank Dell,69.26,WR,213.0,1.0,8
Michael Wilson,68.86000000000001,WR,284.0,1.0,8
Josh Downs,61.36,WR,258.0,1.0,8
Richie James Jr.,50.36,WR,248.0,1.0,8
Puka Nacua,47.129999999999995,WR,298.0,1.0,8
Cedric Tillman,45.459999999999994,WR,290.0,1.0,8
Justyn Ross,28.29,WR,221.0,1.0,9
Ronnie Bell,20.11,WR,324.0,1.0,9
Scott Miller,16.470000000000002,WR,278.0,1.0,9
Antoine Green,11.03,WR,322.0,1.0,9
Elijah Cooks,3.58,WR,317.0,1.0,9
Travis Kelce,235.60999999999999,TE,5.0,1.0,1
Mark Andrews,165.51000000000002,TE,27.0,1.0,2
T.J. Hockenson,159.28,TE,46.0,1.0,2
George Kittle,144.75,TE,52.0,1.0,3
Darren Waller,146.31,TE,53.0,1.0,3
Kyle Pitts,131.00000000000003,TE,72.0,1.0,3
Dallas Goedert,131.11,TE,68.0,1.0,3
Pat Freiermuth,118.75,TE,91.0,1.0,4
Evan Engram,118.27999999999999,TE,82.0,1.0,4
David Njoku,109.72,TE,94.0,1.0,4
Chigoziem Okonkwo,103.72,TE,137.0,1.0,5
Dalton Schultz,110.32000000000001,TE,124.0,1.0,4
Greg Dulcich,102.07000000000001,TE,167.0,1.0,5
Cole Kmet,100.82000000000001,TE,134.0,1.0,5
Tyler Higbee,107.02999999999999,TE,140.0,1.0,4
Dalton Kincaid,98.86000000000001,TE,109.0,1.0,5
Juwan Johnson,95.26,TE,159.0,1.0,5
Gerald Everett,99.97,TE,183.0,1.0,5
Sam LaPorta,92.47,TE,146.0,1.0,5
Hunter Henry,88.76,TE,255.0,1.0,6
Irv Smith Jr.,87.04,TE,201.0,1.0,6
Noah Fant,87.35,TE,247.0,1.0,6
Dawson Knox,80.9,TE,226.0,1.0,6
Cade Otton,83.93,TE,276.0,1.0,6
Hayden Hurst,84.13,TE,260.0,1.0,6
Mike Gesicki,77.33,TE,227.0,1.0,6
Tyler Conklin,80.34,TE,239.0,1.0,6
Zach Ertz,79.12,TE,240.0,1.0,6
Jake Ferguson,76.06,TE,202.0,1.0,6
Taysom Hill,34.949999999999996,TE,195.0,1.0,7
Luke Musgrave,73.48,TE,180.0,1.0,6
Michael Mayer,72.09,TE,220.0,1.0,6
Logan Thomas,74.23,TE,252.0,1.0,6
Trey McBride,68.56,TE,302.0,1.0,6
Isaiah Likely,55.14,TE,265.0,1.0,7
Davis Allen,23.340000000000003,TE,283.0,1.0,7
Harrison Butker,125.6,K,153.0,1.0,1
Tyler Bass,124.8,K,147.0,1.0,1
Daniel Carlson,124.7,K,138.0,1.0,1
Justin Tucker,124.2,K,108.0,1.0,1
Evan McPherson,122.0,K,145.0,1.0,2
Greg Joseph,120.8,K,266.0,1.0,2
Jason Myers,120.8,K,186.0,1.0,2
Cameron Dicker,120.1,K,194.0,1.0,2
Younghoe Koo,119.0,K,175.0,1.0,2
Jake Elliott,118.5,K,184.0,1.0,2
Brandon McManus,117.7,K,188.0,1.0,2
Greg Zuerlein,117.5,K,224.0,1.0,2
Jake Moody,117.0,K,242.0,1.0,2
Graham Gano,116.6,K,231.0,1.0,2
Riley Patterson,115.0,K,259.0,1.0,3
Jason Sanders,114.8,K,200.0,1.0,3
Brandon Aubrey,113.1,K,304.0,1.0,3
Matt Gay,112.5,K,250.0,1.0,3
Wil Lutz,111.0,K,293.0,1.0,3
Blake Grupe,109.9,K,308.0,1.0,3
Blake Grupe,109.9,K,312.0,1.0,3
Dallas Cowboys,114.5,DST,128.0,1.0,1
Philadelphia Eagles,114.2,DST,119.0,1.0,1
New England Patriots,110.4,DST,143.0,1.0,1
Pittsburgh Steelers,108.5,DST,178.0,1.0,1
San Francisco 49ers,108.2,DST,103.0,1.0,1
Cleveland Browns,107.3,DST,249.0,1.0,1
New Orleans Saints,106.6,DST,179.0,1.0,1
Miami Dolphins,106.5,DST,191.0,1.0,1
Washington Commanders,105.2,DST,187.0,1.0,2
Buffalo Bills,105.1,DST,135.0,1.0,2
Kansas City Chiefs,104.7,DST,212.0,1.0,2
Green Bay Packers,104.6,DST,222.0,1.0,2
Los Angeles Chargers,104.1,DST,262.0,1.0,2
New York Jets,103.4,DST,152.0,1.0,2
Seattle Seahawks,103.3,DST,209.0,1.0,2
Minnesota Vikings,102.5,DST,246.0,1.0,2
Baltimore Ravens,101.9,DST,162.0,1.0,2
Tampa Bay Buccaneers,101.0,DST,254.0,1.0,2
Jacksonville Jaguars,99.5,DST,203.0,1.0,3
New York Giants,99.0,DST,263.0,1.0,3
Tennessee Titans,98.9,DST,244.0,1.0,3
Denver Broncos,98.7,DST,215.0,1.0,3
Cincinnati Bengals,98.4,DST,229.0,1.0,3
