"Player","Team","FG","FGA","XPT","FPTS"
"Harrison Butker","KC","25.7","29.9","48.5","125.6"
"Tyler Bass","BUF","27.3","31.8","43.1","124.8"
"Daniel Carlson","LV","29.7","32.8","35.5","124.7"
"Justin Tucker","BAL","27.5","30.9","41.6","124.2"
"Evan McPherson","CIN","27.3","31.8","39.9","122.0"
"Greg Joseph","MIN","27.3","32.3","39.0","120.8"
"Jason Myers","SEA","26.7","30.5","40.8","120.8"
"Cameron Dicker","LAC","26.5","31.3","40.7","120.1"
"Younghoe Koo","ATL","29.1","32.7","31.8","119.0"
"Jake Elliott","PHI","24.9","28.6","43.7","118.5"
"Brandon McManus","JAC","28.4","33.2","32.6","117.7"
"Greg Zuerlein","NYJ","28.2","34.7","32.9","117.5"
"Jake Moody","SF","25.7","30.6","39.8","117.0"
"Dustin Hopkins","CLE","25.6","31.2","39.8","116.7"
"Graham Gano","NYG","28.3","31.5","31.6","116.6"
"Nick Folk","TEN","25.7","30.7","38.9","115.9"
"Riley Patterson","DET","25.5","30.3","38.6","115.0"
"Cairo Santos","CHI","26.9","30.6","34.3","115.0"
"Jason Sanders","MIA","26.3","31.5","35.9","114.8"
"Chris Boswell","PIT","27.0","31.5","32.2","113.3"
"Brandon Aubrey","DAL","24.8","29.8","38.8","113.1"
"Matt Gay","IND","26.5","30.2","33.0","112.5"
"Ka'imi Fairbairn","HOU","26.9","30.9","31.4","112.2"
"Wil Lutz","DEN","26.6","32.4","31.3","111.0"
"Blake Grupe","NO","24.0","29.1","37.9","109.9"
"Matt Prater","ARI","25.2","29.7","33.8","109.5"
"Eddy Pineiro","CAR","26.4","30.1","29.9","109.1"
"Brett Maher","LAR","24.9","28.6","34.5","109.0"
"Anders Carlson","GB","23.2","27.7","37.3","106.8"
"Chad Ryland","NE","24.2","28.3","31.9","104.6"
"Joey Slye","WAS","25.7","30.6","26.8","103.8"
"Chase McLaughlin","TB","23.4","27.7","33.3","103.6"
"Cade York","TEN","22.6","26.7","33.8","101.6"
"Michael Badgley","DET","0.0","0.0","0.0","0.0"
""
""