"Player","Team","ATT","CMP","YDS","TDS","INTS","ATT","YDS","TDS","FL","FPTS"
"Â ","","",""
"Patrick Mahomes II","KC","611.2","406.5","4,839.0","37.7","11.2","65.0","357.6","3.2","1.9","384.3"
"Josh Allen","BUF","577.6","364.7","4,293.3","32.2","14.0","116.7","660.1","6.2","4.2","381.6"
"Jalen Hurts","PHI","495.3","318.9","3,820.6","23.5","10.1","157.8","801.9","11.2","2.9","378.7"
"Lamar Jackson","BAL","481.8","305.9","3,489.1","25.5","11.6","148.5","939.2","5.5","3.0","351.0"
"Joe Burrow","CIN","598.1","406.7","4,632.1","33.1","13.1","65.0","273.1","3.9","2.3","350.5"
"Justin Fields","CHI","419.0","259.5","2,993.5","21.1","12.7","154.6","1,043.6","6.9","3.3","330.9"
"Justin Herbert","LAC","627.1","422.2","4,598.2","30.1","12.6","57.1","220.1","2.0","2.0","321.5"
"Deshaun Watson","CLE","504.7","324.6","3,853.6","24.6","11.0","98.6","493.2","4.1","1.8","311.8"
"Dak Prescott","DAL","553.4","365.3","4,134.2","29.3","13.6","58.9","249.6","2.4","3.1","302.0"
"Kirk Cousins","MIN","593.8","395.8","4,452.2","30.6","12.3","31.6","92.0","1.5","2.8","300.9"
"Trevor Lawrence","JAC","578.6","378.6","4,088.7","26.9","12.1","62.3","285.2","3.9","5.2","300.6"
"Daniel Jones","NYG","519.6","338.2","3,512.6","21.1","10.0","109.7","638.6","4.9","4.1","300.0"
"Geno Smith","SEA","545.1","371.2","4,055.4","27.1","11.3","61.8","322.7","2.0","3.5","296.5"
"Aaron Rodgers","NYJ","559.2","362.1","4,062.0","28.1","8.6","36.5","125.2","1.6","2.6","282.7"
"Russell Wilson","DEN","513.2","323.6","3,806.6","24.2","10.9","63.8","320.6","2.7","2.1","282.5"
"Tua Tagovailoa","MIA","536.3","351.8","4,128.1","27.4","12.3","43.1","133.3","1.7","1.8","282.1"
"Jared Goff","DET","571.7","376.0","4,254.5","28.1","11.0","32.0","83.3","1.1","3.6","279.5"
"Anthony Richardson","IND","488.5","302.3","3,214.2","18.3","13.1","142.2","630.7","4.4","2.3","274.0"
"Derek Carr","NO","512.8","337.8","3,972.7","24.1","11.7","34.6","116.7","1.0","2.6","256.0"
"Kenny Pickett","PIT","499.1","316.3","3,312.3","17.6","12.2","67.1","436.6","3.6","1.5","253.3"
"Jordan Love","GB","545.2","345.7","3,831.0","23.3","14.5","44.0","170.3","1.5","2.6","252.8"
"Brock Purdy","SF","441.6","288.5","3,479.4","24.5","10.2","38.0","124.9","2.1","1.4","249.6"
"Matthew Stafford","LAR","522.8","346.9","3,956.5","23.8","13.0","30.4","71.2","0.8","2.8","247.1"
"Bryce Young","CAR","521.3","326.5","3,620.5","20.2","12.9","51.4","203.6","1.6","2.3","237.7"
"Jimmy Garoppolo","LV","493.7","327.1","3,639.4","22.5","12.2","30.6","67.0","1.6","2.3","234.6"
"Mac Jones","NE","517.4","342.0","3,650.0","20.9","13.5","52.5","153.8","1.2","2.2","234.2"
"C.J. Stroud","HOU","522.5","328.3","3,483.2","20.0","14.2","51.0","183.9","1.5","2.5","227.4"
"Sam Howell","WAS","519.0","324.2","3,321.6","18.7","12.9","56.5","235.9","1.9","2.4","224.9"
"Ryan Tannehill","TEN","450.6","293.3","3,264.2","19.2","11.0","41.9","166.3","2.4","2.4","223.1"
"Kyler Murray","ARI","406.5","267.0","2,742.3","13.3","9.5","74.9","411.2","2.7","2.3","206.3"
"Baker Mayfield","TB","489.1","301.6","3,188.1","17.5","11.8","36.6","129.6","1.3","2.4","201.2"
"Desmond Ridder","ATL","448.7","277.5","3,004.6","17.5","10.5","39.8","172.5","1.5","3.1","199.8"
"Joshua Dobbs","ARI","162.9","99.7","1,380.3","6.4","7.3","20.1","120.0","0.8","1.5","87.4"
"Kyle Trask","TB","178.1","107.4","1,131.4","4.9","5.8","16.6","47.2","0.2","1.1","63.1"
"Jacoby Brissett","WAS","146.6","82.8","985.6","4.1","3.3","19.4","77.7","0.6","1.3","61.4"
"Brian Hoyer","LV","100.0","60.7","751.8","4.0","4.2","10.6","32.9","0.2","0.8","44.9"
"Taylor Heinicke","ATL","99.0","60.6","704.6","3.8","3.9","18.1","51.0","0.2","1.2","43.4"
"Sam Darnold","SF","126.0","74.7","703.6","2.9","4.2","17.3","49.7","0.4","1.4","40.2"
"Gardner Minshew II","IND","75.5","47.4","672.1","2.7","2.3","12.2","41.9","0.2","1.2","38.3"
"Malik Willis","TEN","79.1","45.5","606.8","2.2","4.8","16.6","75.0","0.4","0.9","36.7"
"Will Levis","TEN","116.6","71.5","657.0","2.2","3.2","16.5","43.3","0.2","0.8","35.8"
"Bailey Zappe","NE","120.6","71.4","655.1","2.5","4.7","15.9","23.2","0.1","1.0","32.4"
"Mike White","MIA","91.8","55.0","598.1","2.6","3.7","12.8","20.6","0.1","0.6","32.0"
"Stetson Bennett","LAR","68.3","42.5","508.0","1.7","2.6","8.8","23.2","0.2","0.6","27.0"
"Davis Mills","HOU","84.6","49.5","515.3","1.6","4.0","14.5","31.7","0.2","0.6","26.4"
"Clayton Tune","ARI","92.2","56.2","520.7","1.4","2.7","10.8","25.8","0.2","0.7","26.0"
"Tyrod Taylor","NYG","43.5","28.1","293.9","2.0","1.4","13.9","58.6","0.2","0.3","24.9"
"Marcus Mariota","PHI","54.6","34.2","328.4","1.6","1.2","15.4","48.9","0.3","0.4","24.0"
"Mitch Trubisky","PIT","59.6","39.3","366.7","1.6","1.7","8.7","25.9","0.2","0.2","23.0"
"Andy Dalton","CAR","65.1","40.4","407.0","1.9","2.4","7.5","15.8","0.1","0.4","22.6"
"Sean Clifford","GB","59.2","36.7","403.2","1.6","2.4","9.2","20.8","0.2","0.6","22.2"
"Tyler Huntley","BAL","52.6","32.9","302.6","1.3","1.3","19.7","57.5","0.2","0.5","21.9"
"Jarrett Stidham","DEN","60.3","34.1","351.5","2.0","2.1","5.3","10.8","0.1","0.4","21.0"
"Blaine Gabbert","KC","56.0","32.9","353.6","1.7","2.6","11.1","21.2","0.1","0.5","19.9"
"Teddy Bridgewater","DET","60.7","33.3","355.2","1.2","1.6","5.1","14.7","0.1","0.2","19.3"
"Zach Wilson","NYJ","94.1","52.6","482.3","0.9","5.2","5.4","13.4","0.2","0.5","18.8"
"Nick Mullens","MIN","43.3","32.5","327.6","1.9","2.1","4.7","8.6","0.1","0.7","18.7"
"Easton Stick","LAC","64.5","37.8","348.1","1.6","3.6","15.2","20.9","0.2","0.7","18.7"
"Jameis Winston","NO","35.5","23.9","299.0","1.5","1.3","4.0","9.8","0.2","0.2","18.3"
"Trey Lance","DAL","71.2","43.0","367.9","0.6","2.3","14.8","36.3","0.1","0.5","18.3"
"C.J. Beathard","JAC","56.6","33.0","341.5","1.5","2.9","11.6","20.1","0.1","0.6","18.2"
"Drew Lock","SEA","50.8","27.8","318.1","1.6","2.7","5.5","16.1","0.1","0.5","17.5"
"Brett Rypien","LAR","0.0","0.0","290.1","2.2","5.4","33.4","31.9","0.1","0.9","17.2"
"Tyson Bagent","CHI","47.8","29.1","300.3","1.3","2.5","8.6","23.4","0.2","0.6","16.8"
"Dorian Thompson-Robinson","CLE","49.2","29.9","306.0","1.1","1.8","8.1","24.2","0.1","0.6","16.8"
"Cooper Rush","DAL","36.2","22.7","273.5","1.5","1.2","2.9","6.6","0.1","0.2","16.5"
"Matt Corral","NE","32.5","19.9","267.9","1.0","2.1","7.6","20.1","0.2","0.5","15.2"
"Aidan O'Connell","LV","77.9","46.4","345.0","0.5","2.6","12.4","19.7","0.1","0.6","14.8"
"Kyle Allen","BUF","53.5","33.2","310.6","1.1","3.1","7.9","15.7","0.1","1.3","13.8"
"Jake Browning","CIN","29.6","18.4","183.0","1.0","1.9","8.1","19.7","0.1","0.5","11.1"
"Case Keenum","HOU","119.6","59.1","274.4","0.4","1.5","10.0","0.7","0.0","0.8","9.8"
"Brandon Allen","SF","0.0","0.0","0.0","3.4","3.4","16.4","7.6","0.0","0.6","9.8"
"Hendon Hooker","DET","58.1","33.9","307.7","0.0","4.9","18.3","36.6","0.2","1.4","9.5"
"David Blough","DET","0.0","0.0","145.1","0.6","1.4","0.0","1.1","0.1","0.1","7.3"
"Logan Woodside","ATL","0.0","0.0","92.5","1.2","4.0","33.4","25.1","0.1","0.9","5.9"
"Skylar Thompson","MIA","57.4","32.4","158.2","0.7","3.9","26.2","19.6","0.0","0.8","5.9"
"Tanner McKee","PHI","24.8","14.7","108.4","0.4","1.6","10.0","14.6","0.1","0.4","5.2"
"PJ Walker","CLE","32.6","13.7","148.7","0.7","5.4","20.0","24.4","0.0","0.5","4.8"
"Jake Haener","NO","7.5","5.0","62.0","0.4","1.6","11.8","16.1","0.1","0.4","3.8"
"Mason Rudolph","PIT","0.0","0.0","7.9","0.6","0.2","17.7","11.2","0.0","0.0","3.8"
"Jaren Hall","MIN","10.0","6.5","59.6","0.4","1.6","11.8","16.2","0.1","0.4","3.5"
"Nathan Peterman","CHI","0.0","0.0","23.9","0.4","1.6","0.0","0.8","0.2","0.1","1.9"
"John Wolford","TB","0.0","0.0","0.0","1.7","6.9","33.4","48.6","0.0","1.5","1.8"
"Feleipe Franks","ATL","0.0","0.0","0.0","1.7","6.9","33.4","48.6","0.0","1.5","1.8"
"Sam Ehlinger","IND","0.0","0.0","15.7","0.9","3.6","33.4","24.3","0.0","0.8","1.7"
"Nate Sudfeld","DET","0.0","0.0","26.3","0.1","0.1","0.0","1.7","0.0","0.0","1.5"
"Jeff Driskel","ARI","0.0","0.0","0.0","0.4","2.9","0.0","0.0","0.0","0.0","-1.3"
"Malik Cunningham","NE","0.0","0.0","0.0","0.0","4.5","22.5","44.2","0.2","1.3","-1.5"
""
""